gen,best_FO,avg_FO
132,10614,-4.10658e+07
133,10614,-3.78791e+07
134,10614,-4.08604e+07
135,10614,-4.13748e+07
136,10614,-4.93466e+07
137,10614,-5.85993e+07
138,10614,-4.72688e+07
139,10614,-5.35995e+07
140,10614,-5.3592e+07
141,10614,-5.49368e+07
142,10614,-5.2732e+07
143,10614,-4.95129e+07
144,10614,-6.04225e+07
145,10614,-5.5742e+07
146,10614,-5.64313e+07
147,10614,-6.7511e+07
148,10614,-6.4952e+07
149,10614,-4.42529e+07
150,10614,-4.10616e+07
151,10614,-4.04977e+07
152,10614,-3.52072e+07
153,10614,-4.88287e+07
154,10614,-3.2391e+07
155,10614,-3.2378e+07
156,10614,-4.23499e+07
157,10614,-5.15591e+07
158,10614,-4.22357e+07
159,10614,-3.80357e+07
160,10614,-3.94888e+07
161,10614,-3.30971e+07
162,10614,-4.93942e+07
163,10614,-5.61478e+07
164,10614,-6.18734e+07
165,10614,-6.4674e+07
166,10614,-5.89606e+07
167,10614,-6.21472e+07
168,10614,-5.3648e+07
169,10614,-5.86415e+07
170,10614,-6.22075e+07
171,10614,-5.37098e+07
172,10614,-5.56481e+07
173,10614,-5.67504e+07
174,10614,-6.35162e+07
175,10614,-5.60553e+07
176,10614,-4.90924e+07
177,10614,-5.3508e+07
178,10614,-5.05306e+07
179,10614,-5.94004e+07
180,10614,-6.66984e+07
181,10614,-6.45277e+07
182,10614,-5.22862e+07
183,10614,-4.82508e+07
184,10614,-4.69088e+07
185,10614,-4.90181e+07
186,10614,-5.10359e+07
187,10614,-5.25382e+07
188,10614,-5.33613e+07
189,10614,-4.60846e+07
190,10614,-5.36027e+07
191,10614,-5.0441e+07
192,10614,-6.32395e+07
193,10614,-7.42788e+07
194,10614,-6.99414e+07
195,10614,-6.5386e+07
196,10614,-6.05473e+07
197,10614,-5.65175e+07
198,10614,-4.99839e+07
199,10614,-4.41381e+07
200,10614,-5.50977e+07
201,10614,-6.0141e+07
202,10614,-5.84056e+07
203,10614,-5.83776e+07
204,10614,-5.23097e+07
205,10614,-4.92136e+07
206,10614,-4.37428e+07
207,10614,-4.35291e+07
208,10614,-4.20296e+07
209,10614,-2.99084e+07
210,10614,-3.67325e+07
211,10614,-4.15992e+07
212,10614,-5.30851e+07
213,10614,-4.52096e+07
214,10614,-4.9753e+07
215,10614,-5.76563e+07
216,10614,-6.33643e+07
217,10614,-6.4861e+07
218,10614,-5.84212e+07
219,10614,-4.82733e+07
220,10614,-4.89213e+07
221,10614,-5.62609e+07
222,10614,-5.15183e+07
223,10614,-4.5368e+07
